Term;Display;Status;Synonym;FR;EN;NL;FR Note;EN Note;NL Note
CoreDataForInteroperability;Core Data for Interoperability;proposed;CDI;ensemble d'informations de santé convenues au niveau national comme essentielles à l'interopérabilité;set of health information agreed nationally as essential to interoperability;set gezondheidsinformatie die nationaal is overeengekomen als essentieel voor interoperabiliteit;La capture et l'échange cohérents constituent une exigence nationale, afin que tout système ou professionnel puisse l'interpréter et la réutiliser. Son périmètre est plus restreint que celui d'un dossier patient.;Consistent capture and exchange is a national requirement, so that any system or professional can interpret and reuse it. Narrower in scope than a patient file.;Consistente vastlegging en uitwisseling is een nationale vereiste, zodat elk systeem of elke zorgprofessional ze kan interpreteren en hergebruiken. De omvang is beperkter dan die van een patiëntendossier.
DataElement;Data Element;proposed;Data Element;unité d'information nommée au sein d'un CareSet, dotée d'une signification métier définie;named unit of information within a CareSet, with a defined business meaning;benoemde informatie-eenheid binnen een CareSet, met een vastgelegde businessbetekenis;Sa sémantique est documentée. Il peut être soumis à des contraintes fonctionnelles telles que cardinalité, bindings ou conditions. Toujours défini au sein d'un CareSet, et non comme un champ technique autonome.;Its semantics are documented. It may be subject to functional constraints such as cardinality, bindings or conditions. Always defined within a CareSet, not as a standalone technical field.;De semantiek ervan is gedocumenteerd. Het kan onderworpen zijn aan functionele beperkingen zoals kardinaliteit, bindings of voorwaarden. Altijd gedefinieerd binnen een CareSet, niet als een op zichzelf staand technisch veld.
