Term;Display;Status;Synonym;FR;EN;NL;FR Note;EN Note;NL Note
Note;Note;accepted;;informations complémentaires relatives au contenu du CareSet, exprimées en texte libre;Additional information related to the CareSet content in free text format;aanvullende informatie over de inhoud van de CareSet, uitgedrukt in vrije tekst;Une note n'est pas structurée. Il n'y a pas de VS associé. Une note ne contient pas de données sensibles. Ex: Niss du patient,Nom, etc…;;
OriginatingRequest;Originating Request;accepted;;demande de soins ou de prestation dont l'exécution est enregistrée par le CareSet;request for care or service whose execution is recorded by the CareSet;aanvraag voor zorg of verstrekking waarvan de uitvoering door de CareSet wordt geregistreerd;Ex: un IRM basé sur une prescription d'imagerie, une dispensation d'un medicament basé sur une prescription médicamenteuse;;Bijvoorbeeld: een MRI-scan op basis van een beeldvormingsvoorschrift, het verstrekken van een geneesmiddel op basis van een medicijnvoorschrift
PartOf;Part Of;accepted;;CareSet englobant dont l'enregistrement courant constitue un composant;encompassing CareSet of which the current record forms a component;omvattende CareSet waarvan de huidige registratie een onderdeel vormt;Par exemple: Une Observation qui fait parti d'une autre Observation, Une biopsie qui fait parti d'une intervention chirugicale;For example: a biopsy that is part of a surgical intervention.;Bijvoorbeeld: een biopsie die deel uitmaakt van een chirurgische ingreep
Patient;Patient;accepted;;La personne qui est l'objet des soins de santé auxquels le CareSet fait référence.;The person who is the subject of the healthcare to which the record (CareSet) refers;persoon op wie de zorg betrekking heeft waarnaar de registratie verwijst;Le patient est représenté par l’identifiant unique qui doit être le N° de registre national du patient (NISS). mais dans certains cas, on peut autoriser un autre identifiant unique (comme le N° biss ou la combinaison du nom, prénom(s), date de naissance);;De patiënt wordt aangeduid met een uniek identificatienummer, dat het nationale registratienummer van de patiënt (NISS) moet zijn. In bepaalde gevallen kan echter een ander uniek identificatienummer worden toegestaan (zoals het BISS-nummer of een combinatie van de achternaam, voornaam(en) en geboortedatum).
Performer;Performer;accepted;;personne qui a réalisé l'acte enregistré par le CareSet;person who performed the act recorded by the CareSet;persoon die de door de CareSet geregistreerde handeling heeft uitgevoerd;L’identifiant unique doit être le N° de registre national du professionnel (NISS) ou le numéro BIS lorsque le NISS ou numéro BIS existe. Dans le cas contraire, on permet d’encoder éventuellement d’autres informations permettant de l’identifier. Ex : N° INAMI, nom et prénom, n° d’identifiant pour les prestataires étrangers…;For example: administered the vaccine, performed the observation.;De unieke identificatiecode moet het nationale registratienummer van de beroepsbeoefenaar (NISS) zijn, of het BIS-nummer indien het NISS of het BIS-nummer bestaat. Indien dit niet het geval is, is het toegestaan om eventueel andere gegevens in te voeren waarmee de beroepsbeoefenaar kan worden geïdentificeerd. Bijvoorbeeld: RIZIV-nummer, voor- en achternaam, identificatienummer voor buitenlandse dienstverleners…
RecordedDate;Recorded Date;accepted;;date à laquelle l'enregistrement a été saisi par le Recorder;date on which the record was entered by the Recorder;datum waarop de registratie door de Recorder is ingevoerd;(Date de la dernière mise à jour). Permet la gestion de l'historisation du CareSet via le couple Business Identifier - RecordedDate. Qui assure l'accès à la dernière version du contenu.;Date of last update. Enables CareSet history management through the Business Identifier / RecordedDate pair, which ensures access to the latest version of the content.;(datum van de laatste update). Maakt het mogelijk om de historiek van de CareSet te beheren via het paar Business Identifier - RecordedDate. Dit zorgt ervoor dat de laatste versie van de inhoud toegankelijk is.
Route;Route;accepted;;voie par laquelle un produit est mis en contact avec l'organisme;path by which a product is brought into contact with the body;weg waarlangs een product in contact wordt gebracht met het lichaam;produit exemple: un medicament,un vaccin Voir ValueSet VS_Route;See ValueSet VS_Route.;Zie ValueSet VS_Route
SerialNumber;Serial Number;accepted;;identifiant attribué par le fabricant à un exemplaire déterminé d'un dispositif;identifier assigned by the manufacturer to one individual device;identificatie die de fabrikant toekent aan één welbepaald exemplaar van een hulpmiddel;(pour un appareil uniquement);;(alleen voor één apparaat)
Status;Status;accepted;;état de l'enregistrement dans son cycle de vie;state of the record within its lifecycle;toestand van de registratie in haar levenscyclus;Ex : Final, Correcte, Canceled, Entered_in_err;For example: final, corrected, cancelled, entered-in-error.;Ex : Final, Corrected, Canceled, Entered_in_err
UsedDevice;Used Device;accepted;;dispositif médical mis en œuvre pour réaliser l'acte enregistré;medical device used to carry out the recorded act;medisch hulpmiddel dat wordt ingezet om de geregistreerde handeling uit te voeren;(robot chirurgical, appareil de monitoring, …). Les petits instruments standard tels que les scalpels et les seringues ne sont pas enregistrés.Le lien s’effectue via une référence vers une ressource Device.;;(chirurgische robot, bewakingsapparaat, …).
VerificationStatus;Verification Status;accepted;Certainty;degré de confirmation attribué à l'information enregistrée;degree of confirmation assigned to the recorded information;graad van bevestiging van de geregistreerde informatie;Observation.Code : Tension artérielle (75367002) Component.Code : 271649006 : Pression artérielle systolique 271650006 : Pression artérielle diastolique Code du composant du CareSet Observation. Ce composant est uniquement utilisé pour les mesures de la tension artérielle dans le cadre du CareSet ClinicalObservation :;For example: confirmed, unconfirmed, refuted, entered-in-error.;"""Observatie.Code: Bloeddruk (75367002) Component.Code: 271649006: Systolische bloeddruk 271650006: Diastolische bloeddruk Code van de component van de CareSet Observatie. Deze component wordt uitsluitend gebruikt voor bloeddrukmetingen in het kader van de CareSet ClinicalObservation:"""
